Event , Record , Athlete , Date , Meet , Place ,,,
100 m, 10.14 A (+0.8 m/s), Mark Odhiambo, 10 June 2017, Kenyan Championships, Nairobi, Kenya,,
9.9 (ht) #, Maurice Wasike, 11 May 2017, Kenya Defence Forces Championships, Nairobi, Kenya,,,
200 m, 20.14 (+1.9 m/s), Carvin Nkanata, 18 April 2015, NTC Pure Athletics Sprint Elite Meet, Clermont, United States,,
400 m, 44.18, Samson Kitur, 3 August 1992, Olympic Games, Barcelona, Spain,,
500 m, 57.69 [a], David Rudisha, 10 September 2016, Great North CityGames, Newcastle, United Kingdom,,
600 m, 1:13.10, David Rudisha, 5 June 2016, British Grand Prix, Birmingham, Great Britain,,
800 m, 1:40.91, David Rudisha, 9 August 2012, Olympic Games, London, United Kingdom,,
1000 m, 2:11.96, Noah Ngeny, 5 September 1999, IAAF Grand Prix, Rieti, Italy,,
1500 m, 3:26.34, Bernard Lagat, 24 August 2001, Memorial Van Damme, Brussels, Belgium,,
Mile, 3:43.40, Noah Ngeny, 7 July 1999, Golden Gala, Rome, Italy,,
2000 m, 4:48.74, John Kemboi Kibowen, 1 August 1998,  , Hechtel-Eksel, Belgium,,
3000 m, 7:20.67, Daniel Komen, 1 September 1996, IAAF Grand Prix, Rieti, Italy,,
Two miles, 7:58.61, Daniel Komen, 17 July 1997,  , Hechtel-Eksel, Belgium,,
5000 m, 12:39.74, Daniel Komen, 22 August 1997, Memorial Van Damme, Brussels, Belgium,,
5 km (road), 12:59.5, Sammy Kipketer, 26 March 2000, 15th Carlsbad 5000, Carlsbad, United States,,
8 km (road), 21:54+, Isaiah Kiplangat Koech, 30 March 2013, Allstate Sugar Bowl Crescent City Classic, New Orleans, United States,,
10000 m, 26:27.85, Paul Tergat, 22 August 1997, Memorial Van Damme, Brussels, Belgium,,
10 km (road), 26:44, Leonard Patrick Komon, 26 September 2010, Singelloop, Utrecht, Netherlands,,
15 km (road), 41:13, Leonard Patrick Komon, 21 November 2010, Zevenheuvelenloop, Nijmegen, Netherlands,,
10 miles (road), 44:27, Leonard Patrick Komon, 18 September 2011, 27th Dam tot Dam, Zaandam, Netherlands,,
20 km (road), 55:55+, Bedan Karoki Muchiri, 9 February 2018, Ras Al Khaimah Half Marathon, Ras al-Khaimah, United Arab Emirates,,
Half marathon, 58:33, Samuel Wanjiru, 17 March 2007, City-Pier-City Loop, The Hague, Netherlands,,
One hour, 20,797 m, Kiplimo Kimutai, 1 June 2009, FBK Games, Hengelo, Netherlands],
25000 m (track), 1:12:25.4+, Moses Mosop, 3 June 2011, Prefontaine Classic, Eugene, United States,,
25 km (road), 1:11:18, Dennis Kipruto Kimetto, 6 May 2012, BIG 25, Berlin, Germany,,
30000 m (track), 1:26:47.4, Moses Mosop, 3 June 2011, Prefontaine Classic, Eugene, United States,,
30 km (road), 1:27:13+, Stanley Biwott, 24 April 2016, London Marathon, London, Great Britain,,
1:27:13+, Eliud Kipchoge, 24 April 2016, London Marathon, London, Great Britain,,,
Marathon, 2:02:57, Dennis Kipruto Kimetto, 28 September 2014, Berlin Marathon, Berlin, Germany,,
2:00:25 # [24], Eliud Kipchoge, 6 May 2017, Breaking2, Monza, Italy,,,
110 m hurdles, 13.69, Fatwell Kimaiyo, 26 January 1974, Commonwealth Games, Christchurch, New Zealand,,
400 m hurdles, 47.78, Boniface Mucheru Tumuti, 18 August 2016, Olympic Games, Rio de Janeiro, Brazil,,
3000 m steeplechase, 7:53.64, Brimin Kipruto, 22 July 2011, Herculis, Fontvieille, Monaco,,
High jump, 2.25 m A, Mathieu Sawe, 31 July 2015, Kenyan Championships, Nairobi, Kenya,,
2.30 m A, Mathieu Sawe, 6 June 2018,  , Nairobi, Kenya,,,
2.30 m, Mathieu Sawe, 3 August 2018, African Championships, Asaba, Nigeria,,,
Pole vault, 4.60 m A, Kenneth Kirui, 22 July 2000,  , Nairobi, Kenya,,
Long jump, 8.12 m, Jacob Katonon, 14 September 1995,  , Johannesburg, South Africa,,
Triple jump, 17.12 m A, Jacob Katonon, 19 June 1996,  , Nairobi, Kenya,,
Shot put, 18.19 m A, Robert Welikhe, 6 October 1989,  , Nairobi, Kenya,,
Discus throw, 56.08 m A, James Nyambureti, 23 July 1994,  , Nairobi, Kenya,,
Hammer throw, 59.90 m A, Patrick Njoroge, 2 July 1993,  , Nairobi, Kenya,,
61.38 m, Dominic Abunda, 8 April 2018, Commonwealth Games, Gold Coast, Australia,,,
Javelin throw, 92.72 m, Julius Yego, 26 August 2015, World Championships, Beijing, China,,
Decathlon, 7076 pts, Charles Kokoyo, 4–5 October 1982, Commonwealth Games, Brisbane, Australia,,
11.41 (100 m), 7.08 m (long jump), 12.00 m (shot put), 1.89 m (high jump)," 49.47 (400 m) /
14.51 (110 m hurdles)", 37.72 m (discus), 3.10 m (pole vault), 57.80 m (javelin), 4:35.57 (1500 m)]
20 km walk (road), 1:19:24, Samuel Gathimba, 26 June 2016, African Championships, Durban, South Africa,,
1:19:04 A, Samuel Gathimba, 17 February 2018, Commonwealth Games Trials, Nairobi, Kenya,,,
1:18.20 A #[b], David Kimutai, 16 July 2011, Kenyan Championships, Nairobi, Kenya,,,
50 km walk (road), 4:25:24, William Sawe, 30 September 1988, Olympic Games, Seoul, South Korea,,
4×100 m relay, 39.40 A,"  Kenya
Simon Kimaru
Anderson Mureta Mutegi
Stephen Barasa
Kipkemoi Soy", 30 July 2010, African Championships, Nairobi, Kenya,,
4×200 m relay, 1:22.35,"  Kenya
Stephen Barasa
Carvin Nkanata
Tony Kipruto Chirchir
Walter Michuki Moenga", 24 May 2014, IAAF World Relays, Nassau, Bahamas,,
4×400 m relay, 2:59.63,"  Kenya
David Kitur
Samson Kitur
Simon Kipkemboi
Simon Kemboi", 7 August 1992, Olympic Games, Barcelona, Spain,,
4×800 m relay, 7:02.43,"  Kenya
Joseph Mwengi Mutua
William Yiampoy
Ismael Kombich
Wilfred Bungei", 25 August 2006, Memorial Van Damme, Brussels, Belgium,,
Distance medley relay, 9:15.56," Elkanah Angwenyi 2:50.8 (1200m)
Thomas Musembi 45.8 (400m)
Alfred Kirwa Yego 1:46.2 (800m)
Alex Kipchirchir 3:52.8 (1600 m)", 29 April 2006, Penn Relays, Philadelphia, United States,,
4×1500 m relay, 14:22.22,"  Kenya
Collins Cheboi
Silas Kiplagat
James Kiplagat Magut
Asbel Kiprop", 25 May 2014, IAAF World Relays, Nassau, Bahamas,,
Ekiden relay, 1:57:06,"  Kenya
Josephat Muchiri Ndambiri 13:24/ 5 km
Martin Irungu Mathathi 27:12/ 10 km
Daniel Muchunu Mwangi 13:59/ 5 km
Mekubo Mogusu 27:56/ 10 km
Onesmus Nyerre 14:36/ 5 km
John Kariuki 19:59/ 7.195 km", 23 November 2005, International Chiba Ekiden, Chiba, Japan,,
Event , Record , Athlete , Date , Meet , Place ,,,
100 m, 11.47 (+0.6 m/s), Eunice Kadogo, 14 September 2015, All-Africa Games, Brazzaville, Republic of the Congo,,
200 m, 23.37, Ruth Waithera, 8 August 1984, Olympic Games, Los Angeles, United States,,
22.4 A (ht), Joyce Zakari, 10 July 2015, Kenyan Championships, Kasarani, Kenya,,,
400 m, 51.18 A, Maximilla Imali, 10 June 2017, Kenyan Championships, Nairobi, Kenya,,
